customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
95,Nomi,Mallinder,Female,67,12/25/1960,63,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8
96,Heath,Olford,Male,33,8/31/1968,55,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15
97,Arne,Corain,Male,16,7/27/1979,44,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10
98,Allianora,Babalola,Female,19,3/17/1956,68,Safety Technician IV,Health,Mass Customer,N,No,7
99,Reggie,Mulliner,Male,97,6/13/1998,25,VP Accounting,Financial Services,Mass Customer,N,No,3
100,Tripp,Steed,Male,80,5/11/1968,56,General Manager,Financial Services,Mass Customer,N,Yes,4
101,Goran,Kwietek,Male,83,12/29/1975,48,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11
102,Langsdon,Tranfield,Male,51,11/27/1956,67,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16
103,Ethyl,Runham,Female,49,4/21/1997,27,Product Engineer,Financial Services,Affluent Customer,N,Yes,4
104,Odille,Panketh,Female,40,6/6/1978,45,Automation Specialist II,Health,Mass Customer,N,Yes,9
105,Maribeth,Pristnor,Female,25,9/17/2001,22,Recruiting Manager,Manufacturing,Mass Customer,N,No,1
106,Glyn,,Male,54,7/3/1966,57,Software Test Engineer III,Health,High Net Worth,N,Yes,18
107,Pris,Stallebrass,Female,97,7/1/1990,33,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9
108,Kayle,Mingaud,Female,4,3/14/1994,30,,n/a,High Net Worth,N,No,3
109,Cody,Blabey,Male,16,12/11/1978,45,Marketing Assistant,n/a,Affluent Customer,N,Yes,4
110,Sascha,St. Quintin,Male,23,7/31/2000,23,,Financial Services,Affluent Customer,N,No,1
111,Cele,Evason,Female,65,8/29/1993,30,Analyst Programmer,n/a,Mass Customer,N,No,2
112,Shena,Parren,Female,88,8/12/1975,48,Marketing Manager,Retail,High Net Worth,N,No,12
113,Gage,Nickless,Male,67,5/6/1956,68,Staff Scientist,n/a,Mass Customer,N,No,20
114,Sunny,Swindells,Female,10,10/23/1985,38,Teacher,Entertainment,Affluent Customer,N,No,8
115,Alberik,Mereweather,Male,77,12/21/1981,42,Account Executive,Health,Mass Customer,N,No,18
116,Scottie,Swiffen,Male,49,2/5/1999,25,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2
117,Nance,Suttling,Female,75,2/23/1982,42,Marketing Manager,Manufacturing,Mass Customer,N,No,15
118,Prentice,Pearmain,Male,43,11/12/1959,64,Budget/Accounting Analyst IV,n/a,High Net Worth,N,No,19
119,Willey,Chastanet,Male,9,12/4/1981,42,Associate Professor,n/a,High Net Worth,N,Yes,9
120,Sloan,Wagg,Male,80,9/2/1978,45,Legal Assistant,Financial Services,High Net Worth,N,Yes,4
121,Myles,Pauncefort,Male,82,10/2/1957,66,Graphic Designer,Manufacturing,Mass Customer,N,No,15
122,Colver,Itter,Male,87,4/19/1979,45,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12
123,Almeta,Kalinsky,Female,85,12/3/1988,35,Analyst Programmer,Financial Services,High Net Worth,N,No,15
124,Kath,Cunney,Female,27,5/3/1995,29,Administrative Assistant II,Health,High Net Worth,N,Yes,5
125,Darrelle,Antoniewski,Female,94,3/17/1960,64,Computer Systems Analyst II,Property,Mass Customer,N,No,16
126,Norman,Cliff,Male,53,10/15/1992,31,Administrative Officer,Health,Mass Customer,N,Yes,3
127,Merrili,Whitear,Female,81,12/3/1974,49,Compensation Analyst,Financial Services,Mass Customer,N,No,19
128,Isidro,Cypler,Male,73,7/17/1977,46,Systems Administrator III,Property,Mass Customer,N,Yes,12
129,Weidar,Silkstone,Male,64,7/20/1985,38,Financial Advisor,Financial Services,High Net Worth,N,Yes,19
130,Raddy,Delete,Male,32,7/18/1997,26,Chemical Engineer,Manufacturing,Mass Customer,N,No,1
131,Jana,Renyard,Female,57,10/16/1964,59,Administrative Officer,Retail,High Net Worth,N,No,8
132,Celesta,Willavoys,Female,5,7/7/1963,60,Web Designer I,Manufacturing,Mass Customer,N,Yes,9
133,Eldridge,Fiddeman,Male,12,6/13/1977,46,VP Accounting,Financial Services,Mass Customer,N,Yes,16
134,Merna,McCulloch,Female,34,8/1/1997,26,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5
135,Rosalia,Sigart,Female,18,1/18/1975,49,Internal Auditor,IT,Mass Customer,N,No,3
136,Mel,Bennet,Male,46,5/26/1973,50,Senior Developer,Manufacturing,High Net Worth,N,Yes,7
137,Vaughn,Artin,Male,27,11/21/1987,36,Office Assistant II,Property,High Net Worth,N,No,10
138,Onofredo,Franc,Male,5,4/28/1985,39,Recruiter,Financial Services,Affluent Customer,N,Yes,13
139,Gar,,Male,1,7/28/1964,59,Operator,Telecommunications,Affluent Customer,N,No,4
140,Morrie,Flaxon,Male,9,5/20/1994,29,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2
141,Townsend,Trobe,Male,67,6/25/1954,69,Teacher,Financial Services,High Net Worth,N,Yes,10
142,Bentley,Fortesquieu,Male,57,8/7/1967,56,Quality Engineer,Health,Affluent Customer,N,No,17
143,Kendall,Figg,Male,19,9/1/1957,66,Operator,Argiculture,Mass Customer,N,Yes,11
144,Jory,Barrabeale,U,71,,123.91,Environmental Tech,IT,Mass Customer,N,No,
145,Filippo,Ferrara,Male,33,7/21/1997,26,Account Executive,Financial Services,Mass Customer,N,No,4
146,Ricoriki,Matlock,Male,34,4/8/1985,39,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8
147,Rea,Pattrick,Female,32,12/6/1973,50,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10
148,Jaquith,Maffey,Female,69,5/8/1981,43,Programmer Analyst III,n/a,Mass Customer,N,Yes,5
149,Drucy,Kausche,Female,41,1/31/1995,29,Research Nurse,Health,Mass Customer,N,Yes,1
150,Bradly,Crosse,Male,6,8/23/1983,40,Cost Accountant,Financial Services,Affluent Customer,N,No,17
151,Donnie,Brimson,Male,36,1/31/1965,59,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13
152,Stephana,Cardew,Female,5,3/3/1981,43,Compensation Analyst,Financial Services,Mass Customer,N,No,16
153,Lorilyn,Walshe,Female,73,7/28/1977,46,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12
154,Faydra,Dulieu,Female,90,2/13/1958,66,Junior Executive,n/a,Mass Customer,N,No,11
155,Orran,Bogges,Male,4,12/28/1985,38,Quality Engineer,Manufacturing,Mass Customer,N,No,10
156,Shayla,Rimmington,Female,23,9/9/1979,44,Cost Accountant,Financial Services,Mass Customer,N,Yes,11
157,Chad,Houtby,Male,97,11/23/1974,49,Financial Advisor,Financial Services,Affluent Customer,N,No,16
158,Hamlin,Odams,Male,99,9/3/1984,39,Internal Auditor,n/a,Affluent Customer,N,No,5
159,Arin,Matskevich,Male,90,5/12/1987,36,Research Nurse,Health,Affluent Customer,N,No,13
160,Wake,Durning,Male,5,7/15/1964,59,Registered Nurse,Health,Mass Customer,N,No,18
161,Tadd,Bloss,Male,49,1/21/1976,48,,n/a,Mass Customer,N,No,16
162,Port,Acuna,Male,90,8/12/1979,44,Nurse Practicioner,IT,Mass Customer,N,No,15
163,Kessia,Helder,Female,58,9/6/1976,47,Librarian,Entertainment,High Net Worth,N,Yes,14
164,Aarika,Van Vuuren,Female,55,8/7/1999,24,Senior Editor,Retail,Affluent Customer,N,Yes,1
165,Aldon,Roelofs,Male,61,3/25/1984,40,Administrative Officer,Argiculture,Mass Customer,N,Yes,12
166,Elston,Oleszczak,Male,54,6/12/1955,68,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6
167,Nathalie,Tideswell,Female,95,10/27/1969,54,,Health,High Net Worth,N,Yes,17
168,Reggie,Broggetti,U,8,,123.91,General Manager,IT,Affluent Customer,N,Yes,
169,Alfy,Bruhnke,Male,20,10/19/1957,66,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5
170,Jammal,Gever,Male,80,6/2/1975,48,Pharmacist,Health,High Net Worth,N,No,21
171,Halli,Davidoff,Female,62,12/4/1970,53,Assistant Manager,Manufacturing,Mass Customer,N,No,10
172,Hilton,Carney,Male,54,9/12/1988,35,Editor,Manufacturing,Affluent Customer,N,Yes,6
173,Ebba,Hanselmann,Female,99,1/2/1997,27,General Manager,Health,Affluent Customer,N,No,1
174,Catie,Tosspell,Female,93,11/26/1989,34,Food Chemist,Health,Mass Customer,N,No,12
175,Templeton,Hambrook,Male,36,11/28/1975,48,Quality Engineer,Manufacturing,Affluent Customer,N,No,5
176,Angelo,Clayal,Male,39,4/13/1992,32,Accountant I,Property,Mass Customer,N,No,10
177,Ondrea,Pablos,Female,25,11/9/1989,34,Professor,Financial Services,High Net Worth,N,No,4
178,Matthieu,Bertelmot,Male,2,4/3/1967,57,,n/a,Affluent Customer,N,No,8
179,Esteban,Sewill,Male,23,5/11/1966,58,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6
180,Trisha,Neasham,Female,16,9/17/1971,52,Web Designer III,Argiculture,Affluent Customer,N,No,14
181,Pavla,Braunle,Female,49,11/21/1982,41,Senior Editor,Manufacturing,Mass Customer,N,No,9
182,Lydon,Dahlman,Male,99,11/20/1992,31,Sales Associate,Financial Services,Affluent Customer,N,Yes,7
183,Dannie,Hissie,Female,7,8/5/1997,26,Geologist III,Retail,Affluent Customer,N,No,3
184,Nappie,Paolo,Male,40,12/13/1971,52,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7
185,Crosby,Walcot,Male,80,12/13/1979,44,,Property,Mass Customer,N,Yes,13
186,Mireielle,Jeppe,Female,46,5/6/1974,50,Software Test Engineer I,Financial Services,Mass Customer,N,No,3
187,Pincas,Ather,Male,97,1/28/1954,70,Structural Engineer,n/a,Mass Customer,N,No,11
188,Audry,Seine,Female,54,6/22/1975,48,Safety Technician II,Property,High Net Worth,N,Yes,13
189,Umberto,Torricella,Male,73,7/19/1981,42,Safety Technician I,Financial Services,Affluent Customer,N,No,10
190,Hayley,Girardengo,Female,42,2/4/1979,45,Registered Nurse,Health,Affluent Customer,N,No,10
191,Christopher,Heining,Male,22,4/27/1960,64,Help Desk Operator,n/a,Affluent Customer,N,Yes,6
192,Goldi,Osler,Female,2,11/19/1978,45,Junior Executive,Health,Mass Customer,N,Yes,8
193,Foss,Hardes,Male,13,7/22/1964,59,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12
194,Ursala,Ferrai,Female,4,11/16/1974,49,Web Developer III,Financial Services,Affluent Customer,N,No,10
195,Talyah,Rylatt,Female,34,11/14/1958,65,Project Manager,Manufacturing,Mass Customer,N,No,6
196,Swen,Odhams,Male,90,2/22/1966,58,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6
197,Avis,,Female,32,1/27/1977,47,,n/a,High Net Worth,N,No,5
198,Vanya,Gumb,Female,82,11/29/1981,42,Assistant Media Planner,Entertainment,Mass Customer,N,No,16
199,Verla,Alven,Female,61,2/13/1978,46,Junior Executive,Health,Mass Customer,N,Yes,21
200,Hube,Weald,Male,7,2/4/1957,67,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19
201,Salem,Huie,Male,45,4/20/1966,58,Design Engineer,Manufacturing,Mass Customer,N,Yes,11
202,Audie,Pillinger,Female,38,6/24/1963,60,Librarian,Entertainment,Affluent Customer,N,Yes,16
203,Donovan,Conry,Male,71,1/13/1964,60,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11
204,Thorny,Hackworth,Male,56,10/1/1976,47,Editor,Financial Services,Mass Customer,N,No,5
205,Rolfe,Kellard,Male,18,12/1/1958,65,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6
206,Mari,Chevolleau,Female,98,7/19/1954,69,Statistician I,n/a,Mass Customer,N,Yes,14
207,Adena,Whyman,Female,9,8/10/1994,29,,n/a,Mass Customer,N,No,7
208,Rutter,Excell,Male,57,10/31/1994,29,Office Assistant III,Property,High Net Worth,N,No,5
209,Udall,Bellard,Male,9,8/28/1957,66,Analog Circuit Design manager,n/a,Affluent Customer,N,Yes,6
210,Albrecht,Thomasson,Male,50,11/18/1963,60,Assistant Manager,Property,Mass Customer,N,No,18
211,Beitris,,Female,6,3/4/1974,50,VP Marketing,Manufacturing,Mass Customer,N,Yes,5
212,Nanice,Ellse,Female,21,11/19/2001,22,Desktop Support Technician,IT,Affluent Customer,N,No,1
213,Lockwood,Exroll,Male,13,5/14/1996,27,Actuary,Financial Services,High Net Worth,N,Yes,6
214,Jeramie,Cellier,Male,82,11/29/1957,66,Food Chemist,Health,Mass Customer,N,No,6
215,Debera,Foxworthy,Female,37,6/24/1974,49,Assistant Professor,Retail,High Net Worth,N,Yes,18
216,Cinderella,Parcall,Female,12,1/12/1995,29,Quality Engineer,Financial Services,High Net Worth,N,Yes,7
217,Jeralee,Quartly,Female,63,12/9/1979,44,,Manufacturing,High Net Worth,N,No,16
218,Stefa,Dunnan,Female,37,8/6/1993,30,Administrative Officer,Property,High Net Worth,N,Yes,8
219,Markus,Mughal,Male,9,11/25/1964,59,Database Administrator III,Health,Mass Customer,N,No,7
220,Jeniffer,Apark,Female,79,5/10/1954,70,Electrical Engineer,Manufacturing,High Net Worth,N,No,9
221,Mara,Bloore,Female,14,3/10/1980,44,Tax Accountant,Manufacturing,Mass Customer,N,No,14
222,Nev,Larive,Male,89,9/3/1978,45,Clinical Specialist,Health,Mass Customer,N,No,16
223,Ossie,Meaton,Male,13,11/26/1983,40,VP Sales,n/a,Affluent Customer,N,Yes,14
224,Morgun,Girvan,Male,2,12/3/1967,56,Compensation Analyst,Financial Services,Affluent Customer,N,No,17
225,Brittaney,Pring,Female,84,3/11/1977,47,Pharmacist,Health,Affluent Customer,N,No,13
226,Bondie,Letty,Male,96,11/11/1977,46,Database Administrator IV,Manufacturing,Mass Customer,N,No,20
227,Wendall,McKeand,Male,99,8/14/1973,50,Accountant I,Entertainment,Mass Customer,N,No,18
228,Lucia,Pickervance,Female,59,5/25/1986,37,Systems Administrator II,Manufacturing,High Net Worth,N,No,12
229,Vaughn,Lambis,Male,30,3/6/1966,58,,Property,High Net Worth,N,No,19
230,Maegan,Scyone,Female,74,6/24/1954,69,Internal Auditor,Property,High Net Worth,N,No,11
231,Basile,Winsor,Male,48,8/5/1995,28,Design Engineer,Financial Services,Mass Customer,N,Yes,3
232,Zaria,Koeppke,Female,94,11/11/1987,36,Professor,Retail,Mass Customer,N,No,12
233,Art,Barwell,Male,34,8/8/1986,37,Environmental Tech,Property,Mass Customer,N,No,13
234,Mead,Alpes,Female,71,8/12/1969,54,Chief Design Engineer,Retail,High Net Worth,N,No,12
235,Leona,Phateplace,Female,30,12/26/1976,47,Social Worker,Health,Mass Customer,N,No,15
236,Tybalt,Gillingwater,Male,79,10/30/1954,69,Research Nurse,Health,Affluent Customer,N,No,14
237,Reginald,Dartan,Male,18,3/7/1974,50,Account Coordinator,Property,High Net Worth,N,Yes,11
238,Max,Bilborough,Male,54,2/4/1984,40,Programmer III,n/a,Mass Customer,N,Yes,14
239,Wells,Pressman,Male,62,12/13/1992,31,Registered Nurse,Health,Affluent Customer,N,No,3
240,Gavin,Fawks,Male,49,7/28/1989,34,Administrative Assistant III,IT,High Net Worth,N,Yes,15
241,Quillan,Duigan,Male,94,5/9/1987,36,Quality Engineer,Entertainment,Mass Customer,N,No,20
242,Taite,Droghan,Male,17,3/20/1992,32,Nurse,Property,Affluent Customer,N,No,8
243,Barbara,Croxley,Female,94,9/2/1976,47,Teacher,Manufacturing,High Net Worth,N,Yes,14
244,Germayne,Sperry,Male,57,11/25/1974,49,,Retail,Affluent Customer,N,No,8
245,Noell,Grahlmans,Female,6,9/26/2001,22,Associate Professor,Financial Services,Affluent Customer,N,No,1
246,Binny,Whight,Female,63,2/28/1991,33,Technical Writer,Manufacturing,High Net Worth,N,No,9
247,Kristal,Joysey,Female,62,5/6/1983,41,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13
248,Inger,Eskell,Female,76,4/15/1978,46,Clinical Specialist,Health,Affluent Customer,N,Yes,12
249,D'arcy,Slay,Male,65,9/13/1992,31,Quality Control Specialist,IT,High Net Worth,N,No,9
250,Kristofer,,Male,53,4/15/1988,36,Legal Assistant,Health,Mass Customer,N,Yes,13
251,Mala,,Female,88,12/24/1977,46,VP Sales,Financial Services,Affluent Customer,N,Yes,10
252,Anthea,Ruskin,Female,39,1/24/1983,41,Account Coordinator,Property,Mass Customer,N,Yes,13
253,Amalee,Choak,Female,82,5/11/1997,26,Food Chemist,Health,Mass Customer,N,Yes,1
254,Barbie,Rubi,Female,98,9/22/1961,62,Information Systems Manager,Retail,Mass Customer,N,No,14
255,Keeley,Kruger,Female,2,1/15/1954,70,Desktop Support Technician,IT,Mass Customer,N,No,5
256,Linell,Beadle,Female,16,5/7/1975,49,Director of Sales,Health,High Net Worth,N,Yes,21
257,Marissa,,Female,70,2/8/1966,58,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19
258,Othella,Keher,Female,24,5/3/1992,32,Administrative Officer,Manufacturing,High Net Worth,N,No,9
259,Venita,Dymick,Female,70,7/22/1983,40,Senior Developer,Health,High Net Worth,N,Yes,3
260,Farand,Marriner,Female,47,8/30/1979,44,Senior Quality Engineer,Health,High Net Worth,N,Yes,22
261,Marve,Pryn,Male,74,10/15/1977,46,Structural Engineer,n/a,Mass Customer,N,No,8
262,Cordie,Petrelli,Male,97,12/23/1977,46,,Health,High Net Worth,N,Yes,10
263,Tonia,Leigh,Female,89,11/19/1985,38,Dental Hygienist,Health,High Net Worth,N,No,7
264,Jedd,Spiby,Male,31,12/7/1977,46,Technical Writer,Health,Mass Customer,N,No,11
