first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,R,S,T,U,V,Value
Mikel,McNess,Male,119,9/22/1981,42,Nurse,n/a,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,0.82,0.82,1.03,0.87,32,1.453
Maisie,Maddox,Female,120,5/9/1977,47,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,0.96,0.96,1.2,1.2,32,1.453
Arleen,Casbolt,Female,121,5/10/1975,49,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,1.08,1.35,1.69,1.69,36,1.448
Farlie,Petford,Male,122,3/25/1968,56,Recruiting Manager,n/a,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,0.49,0.49,0.61,0.61,36,1.448
Mitchell,MacCague,Male,123,4/11/1979,45,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,0.68,0.68,0.85,0.7225,38,1.4375
Garik,Whitwell,Male,124,6/13/1955,68,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,0.59,0.7375,0.921875,0.78359375,38,1.4375
Antonin,Britt,Male,125,8/28/1993,30,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,0.65,0.8125,1.015625,1.015625,40,1.434375
Vinny,Incogna,Female,126,2/13/1953,71,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,0.92,0.92,1.15,1.15,40,1.434375
Colene,Fishleigh,Female,127,3/14/1985,39,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,0.81,0.81,1.01,0.86,42,1.422
Neile,Argent,Female,128,10/25/1946,77,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,0.65,0.65,0.8125,0.690625,42,1.421875
Corinna,Suggey,Female,129,9/18/1966,57,Design Engineer,n/a,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,0.73,0.73,0.91,0.91,44,1.421
Brooke,Arling,Male,130,12/5/1961,62,,n/a,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,0.47,0.47,0.5875,0.5875,44,1.42109375
Gipsy,Ewestace,Female,131,8/30/1956,67,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,0.46,0.58,0.72,0.72,46,1.408
Sheena,Kybbye,Female,132,7/16/1956,67,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,0.82,1.03,1.28,1.28,46,1.408
Jobina,Gobourn,Female,133,12/4/1994,29,VP Quality Control,n/a,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,0.47,0.59,0.73,0.73,46,1.408
Gale,Disbrow,Female,134,5/14/1977,46,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,0.73,0.91,1.14,0.97,46,1.408
Thaxter,Kingsbury,Male,135,5/3/1950,74,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,0.87,0.87,1.09,0.92,50,1.406
Heinrick,Shilstone,Male,136,2/11/1978,46,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,0.95,0.95,1.1875,1.1875,50,1.40625
Taylor,Steuhlmeyer,Male,137,3/22/1999,25,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,0.59,0.74,0.92,0.92,52,1.395
Griswold,Kelsall,Male,138,12/19/1993,30,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,0.88,1.1,1.38,1.38,52,1.395
Odessa,Mc Andrew,Female,139,12/1/1981,42,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,0.61,0.61,0.7625,0.648125,54,1.38125
Lavena,Seekings,Female,140,3/25/1995,29,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,0.83,0.83,1.04,0.88,54,1.381
Martelle,Tuppeny,Female,141,2/3/1981,43,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,0.7,0.7,0.88,0.74,54,1.381
Briant,Ladley,Male,142,12/17/1979,44,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,0.64,0.64,0.8,0.68,57,1.375
Marylou,Kirkup,Female,143,10/31/1972,51,VP Product Management,n/a,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,0.99,0.99,1.24,1.05,57,1.375
Whittaker,,Male,144,7/29/1966,57,Media Manager III,n/a,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,0.82,1.03,1.28,1.09,57,1.375
Normy,Goodinge,U,145,,124,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,0.73,0.73,0.91,0.78,57,1.375
Lorrie,Antonelli,Male,146,2/11/1983,41,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,0.9,1.13,1.41,1.41,57,1.375
Jedediah,Kedie,Male,147,12/29/1971,52,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,0.86,1.08,1.34,1.14,62,1.368
Kaine,Smallcombe,Male,148,2/6/1942,82,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,0.75,0.75,0.94,0.94,62,1.368
Loise,Iltchev,Female,149,3/18/1967,57,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,0.44,0.55,0.69,0.69,62,1.368
Cristen,Maroney,Female,150,11/21/1999,24,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,0.9,1.13,1.41,1.41,65,1.363
Dorothy,Barnardo,Female,151,2/1/1983,41,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,0.81,0.81,1.01,1.01,65,1.363
Rosmunda,Duxbarry,Female,152,7/20/1996,27,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,0.82,1.03,1.28,1.28,65,1.363
Rozamond,Riha,Female,153,10/7/1984,39,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,0.74,0.93,1.16,1.16,68,1.355
Gunner,Petti,Male,154,6/8/1999,24,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,0.83,1.04,1.3,1.3,68,1.355
Vivienne,Crayden,Female,155,9/18/1988,35,Associate Professor,n/a,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,0.9,1.13,1.41,1.41,68,1.355
Sherilyn,Canero,Female,156,8/3/1996,27,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,0.81,1.01,1.27,1.27,68,1.355
Bessie,Roscow,Female,157,8/4/1994,29,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,1.01,1.01,1.26,1.07,72,1.35
Kevina,Ferandez,Female,158,9/21/1999,24,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,0.73,0.73,0.91,0.91,72,1.35
Yancy,Clementet,Male,159,2/16/1968,56,Mechanical Systems Engineer,n/a,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,0.93,0.93,1.16,1.16,72,1.35
Mabelle,Wellbelove,Female,160,4/21/1958,66,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,0.53,0.6625,0.828125,0.828125,72,1.35
Hasheem,Groucock,Male,161,9/17/1974,49,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,0.69,0.86,1.08,1.08,72,1.35
Tobias,Woodhams,Male,162,4/15/1961,63,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,0.75,0.75,0.94,0.8,77,1.341
Glennis,Flintoff,Female,163,10/22/1956,67,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,0.97,1.21,1.52,1.52,78,1.338
Chanda,Mensler,Female,164,1/14/1972,52,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,0.65,0.81,1.02,0.86,78,1.338
Katheryn,Kinner,Female,165,11/28/1973,50,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,0.92,0.92,1.15,1.15,78,1.338
Sumner,Carrivick,Male,166,4/9/1995,29,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,0.45,0.45,0.56,0.48,78,1.338
Valerie,Pickover,Female,167,9/8/1965,58,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,1.1,1.1,1.38,1.17,78,1.338
Esther,Rooson,Female,168,2/22/1981,43,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,0.58,0.58,0.725,0.61625,78,1.3375
Gardie,Crellim,Male,169,9/12/1975,48,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,0.71,0.71,0.89,0.89,84,1.328
Sean,O'Loughlin,Male,170,3/22/1961,63,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,0.71,0.89,1.11,1.11,85,1.325
Pietra,Buckleigh,Female,171,4/29/1949,75,Engineer III,n/a,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,0.76,0.76,0.95,0.95,85,1.325
Marysa,Rouchy,Female,172,2/15/1999,25,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,1,1,1.25,1.25,85,1.325
Kahaleel,,Male,173,11/1/1942,81,GIS Technical Architect,n/a,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,0.66,0.66,0.83,0.83,88,1.315
Ossie,Midden,Male,174,2/10/1950,74,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,0.61,0.76,0.95,0.81,89,1.313
Sid,Carlone,Male,175,8/18/1971,52,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,0.66,0.66,0.83,0.83,89,1.313
Ludovico,Juster,Male,176,4/19/1992,32,Environmental Specialist,n/a,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,0.66,0.66,0.83,0.83,89,1.313
Patricia,Everix,Female,177,2/19/1978,46,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,0.61,0.61,0.76,0.65,89,1.313
Andromache,Bonafacino,Female,178,9/1/1977,46,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,0.92,0.92,1.15,0.9775,89,1.3125
Levy,Abramamov,Male,179,9/21/1952,71,Teacher,n/a,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,0.6,0.75,0.94,0.94,89,1.313
Nobe,McAughtry,Male,180,12/14/1978,45,,n/a,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,1.1,1.1,1.375,1.16875,89,1.3125
Jehu,Prestedge,Male,181,10/20/1999,24,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,0.61,0.7625,0.953125,0.953125,96,1.3
Symon,Mawne,Male,182,2/8/1943,81,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,0.63,0.79,0.98,0.84,96,1.3
Karlik,Penchen,Male,183,10/31/1994,29,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,0.49,0.49,0.61,0.52,96,1.3
Bengt,Bilson,Male,184,11/2/1972,51,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,0.58,0.58,0.73,0.73,99,1.297
Evangelin,Boc,Female,185,5/9/2000,23,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,0.54,0.68,0.84,0.84,99,1.297
Hanny,Treven,Female,186,1/22/1991,33,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,0.42,0.42,0.53,0.45,99,1.297
Gina,Mallon,Female,187,2/11/1994,30,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,0.51,0.51,0.64,0.54,102,1.288
Reynold,Elman,Male,188,1/18/1940,84,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,0.82,0.82,1.03,0.87,102,1.288
Flossy,Concannon,Female,189,10/20/1980,43,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,0.91,0.91,1.14,1.14,104,1.288
Cristen,Wiltshire,Female,190,10/20/1961,62,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,0.8,1,1.25,1.25,104,1.288
Griffith,Escot,Male,191,10/23/1946,77,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,0.89,1.11,1.39,1.18,104,1.288
Jamie,Jiruca,Female,192,6/16/1963,60,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,0.71,0.71,0.89,0.75,104,1.288
Lyon,Brittan,Male,193,4/23/1972,52,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,0.5,0.5,0.63,0.63,104,1.288
Aridatha,Sephton,Female,194,10/22/1961,62,Human Resources Assistant II,n/a,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,0.86,0.86,1.08,0.91,104,1.288
Michal,Bryan,Female,195,11/9/1969,54,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,1.1,1.375,1.71875,1.4609375,104,1.2875
Franciska,Stigell,Female,196,11/15/1968,55,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,0.98,1.23,1.53,1.3,111,1.281
Jordan,Clampe,Male,197,12/9/1939,84,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,0.68,0.85,1.06,0.9,111,1.281
David,Napoleon,Male,198,11/5/1961,62,Structural Engineer,n/a,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,0.65,0.65,0.81,0.81,111,1.281
Meriel,Tapp,Female,199,8/13/1995,28,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,0.58,0.58,0.73,0.62,114,1.275
Dolley,Starmont,Female,200,11/8/1977,46,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,0.61,0.61,0.76,0.76,114,1.275
Frederik,Milan,Male,201,11/13/1997,26,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,0.96,0.96,1.2,1.02,114,1.275
Rollo,Louedey,Male,202,7/9/1946,77,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,0.82,1.03,1.28,1.28,114,1.275
Jerrine,Cosbey,Female,203,1/11/1978,46,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,1.02,1.28,1.59,1.59,114,1.275
Roddy,Rubinshtein,Male,204,10/8/1987,36,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,0.89,1.11,1.39,1.18,114,1.275
Viki,Coutts,Female,205,12/14/1952,71,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,0.4,0.5,0.63,0.53,120,1.263
Ashby,Bispham,Male,206,10/29/1981,42,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,0.58,0.58,0.73,0.73,120,1.263
Alexander,Broadbent,Male,207,5/28/1997,26,Desktop Support Technician,n/a,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,0.46,0.46,0.58,0.49,120,1.263
Teddy,Lagadu,Female,208,7/20/1969,54,Design Engineer,n/a,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,0.96,0.96,1.2,1.2,120,1.263
Peria,Rantoull,Female,209,3/13/1975,49,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,0.75,0.75,0.94,0.8,120,1.263
Ludvig,Andren,Male,210,2/22/1941,83,Media Manager III,n/a,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,0.71,0.89,1.11,1.11,125,1.262
Elsworth,Abbitt,Male,211,2/8/1956,68,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,0.97,1.2125,1.515625,1.28828125,125,1.26171875
Rebeca,Aggas,Female,212,2/27/1953,71,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,0.75,0.75,0.94,0.94,127,1.25
Ricki,Dobrowski,Male,213,3/10/1975,49,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,0.58,0.73,0.91,0.77,127,1.25
Georgetta,Lovett,Female,214,2/2/1940,84,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,0.73,0.73,0.91,0.78,127,1.25
Bambi,Cogger,Female,215,7/12/1990,33,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,0.66,0.83,1.03,1.03,127,1.25
Aurie,Rhead,Female,216,7/28/1962,61,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,0.41,0.51,0.64,0.64,127,1.25
Farris,Skettles,Male,217,7/3/1965,58,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,0.92,1.15,1.44,1.22,132,1.248
Sharline,Abyss,Female,218,3/18/1960,64,,n/a,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,0.65,0.8125,1.015625,0.86328125,133,1.2375
Nowell,Preddy,Male,219,7/23/1985,38,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,1,1,1.25,1.0625,133,1.2375
Lacy,Drance,Female,220,2/5/1978,46,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,0.7,0.88,1.09,1.09,133,1.238
Padraig,Snel,Male,221,11/8/1970,53,Staff Accountant II,n/a,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,1.03,1.03,1.29,1.09,133,1.238
Malorie,Votier,Female,222,5/29/1990,33,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,0.69,0.69,0.86,0.86,133,1.238
Shepperd,Ricards,Male,223,9/27/1967,56,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,1.08,1.35,1.69,1.43,133,1.238
Daryl,Pauncefort,Female,224,6/18/1979,44,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,0.6,0.75,0.94,0.8,133,1.238
Norina,Blakeway,Female,225,2/11/1980,44,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,0.84,1.05,1.31,1.12,133,1.238
My,Chaston,Male,226,7/16/1966,57,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,1,1.25,1.56,1.56,133,1.238
Isak,Bergstram,Male,227,3/8/2001,23,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,0.74,0.93,1.16,1.16,142,1.235
Grannie,Cracker,Male,228,3/6/1949,75,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,0.44,0.55,0.69,0.58,142,1.235
