transaction_id,product_id,customer_id,transaction_date,Recency,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation
28,19,76,12/23/2017,7,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,7/9/2016,114.93,Female,20,1/23/1978,46,Statistician II,Retail,High Net Worth,N,Yes,18,439 Ridgeway Court,4213,QLD,Australia,9
29,72,3368,10/13/2017,78,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,12/6/2016,90.1,Female,7,7/17/1967,56,Technical Writer,Financial Services,Affluent Customer,N,No,16,2 Roxbury Place,2564,NSW,Australia,8
30,91,1173,3/15/2017,290,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,10/10/2014,128.46,Female,58,3/2/1978,46,Statistician IV,Retail,High Net Worth,N,No,16,71 Cherokee Hill,2127,NSW,Australia,7
32,1,3214,2/18/2017,315,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,11/14/2016,448.68,Female,2,1/21/1993,31,Software Engineer III,Financial Services,Mass Customer,N,Yes,9,050 Monterey Street,4869,QLD,Australia,3
34,99,2003,2/28/2017,305,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,10/1/2006,189.28,Female,80,6/21/1962,61,Statistician III,Manufacturing,High Net Worth,N,Yes,8,064 Fallview Terrace,4500,QLD,Australia,7
35,0,2171,8/20/2017,132,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21,Female,21,2/10/1970,54,Pharmacist,Health,High Net Worth,N,No,10,6 Tennyson Place,2138,NSW,Australia,9
36,92,3356,7/7/2017,176,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,9/10/2003,155.65,Male,47,3/23/1959,65,Safety Technician II,Financial Services,Mass Customer,N,Yes,6,73 Burrows Court,3121,VIC,Australia,8
37,14,1040,1/9/2017,355,FALSE,Approved,Solex,Standard,high,large,1842.92,1105.75,10/24/1995,737.17,Female,78,3/4/1975,49,Food Chemist,Health,High Net Worth,N,No,9,27135 Melvin Plaza,4556,QLD,Australia,8
38,2,2916,12/6/2017,24,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,11/7/1991,17.87,Male,23,8/3/1969,54,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9,2 Blue Bill Park Lane,4220,QLD,Australia,8
39,12,427,9/12/2017,109,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,12/7/2005,1069.55,Male,77,12/19/1996,27,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2,1 Carey Pass,2065,NSW,Australia,11
40,0,2448,11/28/2017,32,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21,Female,5,12/18/1992,31,Structural Analysis Engineer,Property,High Net Worth,N,No,10,11 Dunning Pass,2219,NSW,Australia,10
41,44,2570,5/8/2017,236,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2/16/2003,1660.88,Male,13,9/10/1977,46,Professor,Financial Services,Mass Customer,N,Yes,18,457 Merry Pass,4812,QLD,Australia,3
43,76,488,3/17/2017,288,FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,10/10/2014,128.46,Female,24,7/11/1980,43,Help Desk Operator,Property,Mass Customer,N,Yes,10,4671 Buell Trail,3564,VIC,Australia,2
44,46,165,12/22/2017,8,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,2/16/2003,1215.34,Male,61,3/25/1984,40,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,22371 Miller Trail,2032,NSW,Australia,10
45,55,2787,6/7/2017,206,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,6/17/2015,1295.43,Female,92,9/26/1980,43,Marketing Assistant,n/a,Affluent Customer,N,Yes,6,3 Cordelia Place,3018,VIC,Australia,9
46,66,3053,6/20/2017,193,FALSE,Approved,Solex,Standard,medium,medium,1163.89,589.27,7/9/2016,574.62,Female,67,9/12/1984,39,Account Coordinator,Retail,High Net Worth,N,No,17,274 Ludington Trail,2428,NSW,Australia,5
47,35,475,5/7/2017,237,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,7/12/1994,903.11,Male,0,11/14/1996,27,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,1,781 Dorton Avenue,3012,VIC,Australia,10
48,81,1305,6/10/2017,203,TRUE,Approved,Solex,Standard,medium,medium,1151.96,649.49,4/10/2012,502.47,Male,97,3/1/1970,54,Executive Secretary,Financial Services,High Net Worth,N,Yes,6,3 School Place,4124,QLD,Australia,4
49,86,1251,6/17/2017,196,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,8/7/2004,110.56,Male,63,10/1/1997,26,Desktop Support Technician,Property,Mass Customer,N,No,2,6 Lerdahl Plaza,4519,QLD,Australia,6
50,32,3103,5/10/2017,234,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,3/22/2002,431.33,Female,5,10/21/1953,70,Safety Technician II,Retail,Mass Customer,N,No,20,32304 Larry Road,4014,QLD,Australia,7
51,77,3108,3/24/2017,281,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,1/10/2011,445.21,Male,94,10/1/1967,56,Accounting Assistant III,Entertainment,Mass Customer,N,No,10,1742 Scott Center,4670,QLD,Australia,2
52,96,857,11/27/2017,33,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,12/11/2007,641.64,Female,15,8/14/1964,59,General Manager,n/a,High Net Worth,N,No,4,18 Parkside Plaza,4122,QLD,Australia,4
53,6,3455,12/21/2017,9,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,11/7/1991,91.15,Male,29,2/25/1954,70,Administrative Officer,n/a,Mass Customer,N,Yes,11,757 Debs Avenue,4670,QLD,Australia,4
54,27,2549,2/9/2017,324,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,7/12/1994,110.81,Male,12,8/7/1998,25,Pharmacist,Health,Mass Customer,N,Yes,4,01 Burning Wood Terrace,2323,NSW,Australia,9
55,0,3140,9/18/2017,103,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,5/10/2005,72.6,Female,2,6/11/1985,38,Legal Assistant,Manufacturing,High Net Worth,N,No,16,3 Canary Center,2040,NSW,Australia,10
56,47,3406,11/14/2017,46,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2/9/1997,189.28,Female,35,4/28/1979,45,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10,5 Northland Plaza,2096,NSW,Australia,9
57,94,2294,8/30/2017,122,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,6/9/2013,641.64,Male,25,6/16/1987,36,Associate Professor,Manufacturing,Mass Customer,N,No,21,7 Melrose Circle,4017,QLD,Australia,5
58,91,1031,11/14/2017,46,FALSE,Approved,Solex,Standard,medium,medium,100.35,75.26,7/26/1999,25.09,Male,75,9/15/1983,40,Junior Executive,Manufacturing,Mass Customer,N,No,6,65634 Del Mar Crossing,4053,QLD,Australia,7
59,93,993,2/15/2017,318,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2/2/2006,583.27,Female,71,2/18/1977,47,Account Coordinator,Argiculture,High Net Worth,N,No,17,84019 Porter Trail,2871,NSW,Australia,3
61,0,1839,2/24/2017,309,FALSE,Approved,OHM Cycles,Road,high,large,12.01,7.21,10/2/1993,4.8,Female,60,5/8/1987,36,Internal Auditor,Entertainment,High Net Worth,N,Yes,5,734 South Court,4152,QLD,Australia,8
62,33,1824,12/18/2017,12,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26,Female,12,10/12/1959,64,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5,2364 Dovetail Way,3048,VIC,Australia,6
65,28,825,5/16/2017,228,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,11/22/2016,133.78,Male,17,8/15/1975,48,Computer Systems Analyst IV,n/a,Affluent Customer,N,Yes,16,8640 Village Junction,2066,NSW,Australia,12
66,86,3315,2/23/2017,310,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,7/26/1999,110.56,Female,77,9/8/1994,29,Account Executive,Property,Mass Customer,N,Yes,5,6 North Court,3862,VIC,Australia,7
67,2,75,7/3/2017,180,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,12/2/2012,17.87,Female,28,7/15/1978,45,VP Product Management,Property,Mass Customer,N,No,19,4763 Merchant Avenue,2756,NSW,Australia,8
68,4,1498,9/30/2017,91,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,9/28/2004,451.65,Female,84,9/27/1989,34,Nurse,n/a,Affluent Customer,N,Yes,13,40 Dexter Crossing,2250,NSW,Australia,9
69,38,1612,10/21/2017,70,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,9/15/2012,1702.55,Male,70,4/17/1987,37,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22,84504 Doe Crossing Road,2441,NSW,Australia,4
70,27,2192,5/6/2017,238,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,6/23/1999,110.81,Male,93,8/27/1966,57,Staff Accountant II,n/a,Mass Customer,N,No,14,3 Thierer Plaza,4815,QLD,Australia,1
71,54,419,1/3/2017,361,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4,Female,34,1/26/1981,43,VP Marketing,Manufacturing,Affluent Customer,N,No,17,7526 Artisan Parkway,4223,QLD,Australia,8
72,77,3307,5/9/2017,235,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,5/9/2011,1660.88,Female,96,9/2/1978,45,Analyst Programmer,Health,High Net Worth,N,No,14,1172 Mesta Center,4740,QLD,Australia,2
73,22,2430,7/23/2017,160,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,7/15/1993,15.08,Male,38,9/6/1968,55,Quality Engineer,n/a,Mass Customer,N,No,5,57769 Gulseth Lane,2040,NSW,Australia,10
75,58,1346,6/20/2017,193,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,10/18/2015,771.12,Male,9,6/19/1970,53,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19,5 Springview Terrace,3620,VIC,Australia,4
76,22,927,3/10/2017,295,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,11/10/1991,15.08,Male,25,2/19/1966,58,Cost Accountant,Financial Services,Mass Customer,N,Yes,18,2309 Gulseth Way,3199,VIC,Australia,8
77,50,763,6/2/2017,211,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2/16/2003,43.97,Female,95,11/5/1987,36,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12,08 Vidon Center,2143,NSW,Australia,5
78,80,2397,11/7/2017,53,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,12/16/1998,139.23,Male,33,6/10/1985,38,Analyst Programmer,Retail,Affluent Customer,N,Yes,4,44083 Village Court,2142,NSW,Australia,7
79,87,102,9/12/2017,109,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,8/25/1997,471.6,Male,51,11/27/1956,67,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,55850 Butterfield Road,2168,NSW,Australia,9
80,15,2884,12/16/2017,14,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,12/7/2005,209.84,Female,99,1/6/1962,62,Assistant Professor,n/a,Mass Customer,N,No,15,8369 Golf Court,2777,NSW,Australia,9
81,84,759,10/7/2017,84,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,10/2/1992,198.22,Male,89,4/18/1963,61,Clinical Specialist,Health,High Net Worth,N,No,13,4 Vahlen Junction,2227,NSW,Australia,10
84,33,3297,11/2/2017,58,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26,Male,39,4/26/1975,49,Product Engineer,Manufacturing,Mass Customer,N,No,13,50 Declaration Junction,3213,VIC,Australia,6
85,84,2434,2/13/2017,320,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,12/18/2004,75.48,Male,40,11/17/1956,67,Environmental Specialist,n/a,Affluent Customer,N,No,18,1966 Glendale Avenue,4207,QLD,Australia,4
86,1,1861,7/19/2017,164,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,9/28/2004,448.68,Female,26,7/18/1967,56,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8,7939 Toban Crossing,2770,NSW,Australia,7
88,31,1390,8/6/2017,146,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,4/20/1993,547.28,Female,74,1/25/2000,24,Accounting Assistant I,Retail,High Net Worth,N,Yes,1,02701 Talmadge Junction,3082,VIC,Australia,7
89,0,2682,4/4/2017,270,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,5/5/2010,4.8,Female,54,11/1/1987,36,Accountant III,Manufacturing,High Net Worth,N,Yes,20,446 Warrior Pass,4740,QLD,Australia,5
90,62,439,8/15/2017,137,TRUE,Approved,Solex,Standard,medium,medium,478.16,298.72,6/23/1993,179.44,Female,26,7/8/1974,49,GIS Technical Architect,n/a,Affluent Customer,N,No,10,8788 Armistice Trail,3806,VIC,Australia,8
91,17,1579,4/15/2017,259,TRUE,Approved,Solex,Standard,high,medium,1024.66,614.8,4/5/1996,409.86,Female,40,1/27/1978,46,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17,82 Hanover Avenue,2101,NSW,Australia,10
92,73,2984,7/25/2017,158,TRUE,Approved,Solex,Standard,medium,medium,1945.43,333.18,5/22/2000,1612.25,Female,48,5/23/1959,64,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13,0 Hayes Hill,2106,NSW,Australia,11
93,33,3470,11/28/2017,32,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,12/4/1999,144.26,Female,56,10/1/1967,56,Recruiting Manager,Health,Affluent Customer,N,Yes,6,176 Sutteridge Alley,3121,VIC,Australia,11
94,86,1,12/23/2017,7,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,5/10/2005,110.56,Female,93,10/12/1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,NSW,Australia,10
95,45,757,2/26/2017,307,FALSE,Approved,Solex,Standard,medium,medium,441.49,84.99,4/12/1993,356.5,Male,91,5/13/1977,46,Environmental Tech,Financial Services,Mass Customer,N,No,18,195 Knutson Place,4019,QLD,Australia,8
96,1,1778,2/21/2017,312,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,4/16/2011,448.68,Female,72,7/30/2000,23,Staff Accountant III,n/a,Mass Customer,N,Yes,2,8 Vermont Pass,3930,VIC,Australia,9
97,80,211,5/31/2017,213,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,12/18/2004,139.23,Female,6,3/4/1974,50,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,78 Rockefeller Park,2159,NSW,Australia,10
99,95,32,3/26/2017,279,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,9/10/2003,41.13,Female,17,4/20/1995,29,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,2951 Petterle Place,2756,NSW,Australia,9
100,0,119,7/31/2017,152,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,12/17/1998,179.44,Male,9,12/4/1981,42,Associate Professor,n/a,High Net Worth,N,Yes,9,5814 Bunker Hill Street,3070,VIC,Australia,7
101,18,2347,7/27/2017,156,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,8/10/2015,459.46,Female,79,3/4/1957,67,Programmer Analyst I,n/a,High Net Worth,N,No,11,1081 Laurel Park,2049,NSW,Australia,12
102,4,2353,4/14/2017,260,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,4/16/2011,451.65,Male,93,12/27/1978,45,Health Coach IV,Health,Affluent Customer,N,Yes,12,22774 Pennsylvania Hill,2262,NSW,Australia,6
103,33,788,11/12/2017,48,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26,Male,62,7/1/1964,59,Social Worker,Health,Mass Customer,N,No,11,00 Mockingbird Junction,2141,NSW,Australia,9
104,78,1468,9/12/2017,109,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/25/2004,1055.82,Female,37,1/10/1978,46,Financial Advisor,Financial Services,Mass Customer,N,No,22,45725 Hagan Pass,2519,NSW,Australia,9
105,89,821,10/26/2017,65,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,6/9/2013,1305.25,Male,41,7/24/1981,42,Financial Analyst,Financial Services,Mass Customer,N,Yes,7,59000 American Center,2530,NSW,Australia,8
106,70,2489,2/15/2017,318,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,4/11/2015,198.29,Female,42,6/12/1976,47,Speech Pathologist,Retail,Mass Customer,N,No,15,9 Spaight Place,2102,NSW,Australia,9
108,26,947,10/11/2017,80,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,5/26/1993,1230.3,Female,43,3/10/1986,38,Pharmacist,Health,Mass Customer,N,No,10,9 Clyde Gallagher Plaza,3021,VIC,Australia,7
110,36,1076,11/4/2017,56,FALSE,Approved,Solex,Standard,low,medium,945.04,507.58,12/19/1995,437.46,Male,33,6/6/2000,23,Pharmacist,Health,Affluent Customer,N,No,2,44 Ramsey Road,2515,NSW,Australia,9
111,0,3320,6/11/2017,202,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,6/17/2015,14.23,Female,16,6/2/1994,29,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,6,88 Michigan Junction,3109,VIC,Australia,10
112,84,779,10/9/2017,82,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,10/2/1992,198.22,Female,1,2/10/1992,32,Staff Accountant III,Health,High Net Worth,N,No,7,2570 Wayridge Park,2093,NSW,Australia,9
113,98,3296,6/7/2017,206,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,5/6/1991,143.36,Female,78,11/11/1974,49,Quality Engineer,Financial Services,Affluent Customer,N,Yes,17,85 Carioca Drive,2154,NSW,Australia,11
114,75,455,10/24/2017,67,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,9/9/2003,1010.02,Male,97,11/2/1991,32,Civil Engineer,Manufacturing,Mass Customer,N,Yes,5,6 Mariners Cove Center,2233,NSW,Australia,10
115,76,1779,5/1/2017,243,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,5/10/2005,128.46,Male,55,11/19/1996,27,Information Systems Manager,Argiculture,Affluent Customer,N,No,5,6238 Hanover Crossing,3141,VIC,Australia,7
117,42,806,3/24/2017,281,FALSE,Approved,OHM Cycles,Road,medium,small,1810,1610.9,4/12/1993,199.1,Male,66,7/28/1992,31,Sales Representative,Retail,Mass Customer,N,Yes,7,018 Erie Point,2767,NSW,Australia,9
119,64,1591,2/20/2017,313,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,10/22/2005,872.89,Male,4,9/14/1976,47,Operator,Manufacturing,Mass Customer,N,Yes,14,54 Veith Drive,2073,NSW,Australia,12
120,0,678,6/16/2017,197,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,4/11/2015,198.29,Female,57,8/31/1995,28,Accounting Assistant II,IT,High Net Worth,N,No,2,96910 Sugar Point,4352,QLD,Australia,7
121,25,50,12/4/2017,26,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,10/11/1992,709.34,Male,38,10/1/1980,43,Account Executive,Manufacturing,Mass Customer,N,Yes,16,957 Veith Junction,2047,NSW,Australia,10
123,31,1453,3/5/2017,300,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,8/2/2015,547.28,Male,54,7/30/1977,46,Computer Systems Analyst I,Health,High Net Worth,N,No,13,58516 Tony Plaza,2567,NSW,Australia,8
124,98,1339,3/21/2017,284,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2/9/1997,693.76,Female,82,12/9/1978,45,Editor,IT,High Net Worth,N,No,14,8766 Onsgard Plaza,3805,VIC,Australia,8
125,22,3382,1/3/2017,361,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,3/12/2013,143.82,Male,90,12/17/1977,46,Business Systems Development Analyst,n/a,High Net Worth,N,No,10,40 Sauthoff Circle,3129,VIC,Australia,10
127,84,2503,3/16/2017,289,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,5/10/2005,75.48,Male,80,7/16/1967,56,Budget/Accounting Analyst I,Health,Affluent Customer,N,Yes,10,62 Doe Crossing Junction,2760,NSW,Australia,7
128,25,1057,2/26/2017,307,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2/4/2016,709.34,Female,73,4/6/1969,55,Registered Nurse,Health,Mass Customer,N,No,5,7 Main Crossing,2065,NSW,Australia,12
